Id	Location	Treatment	Age	LocateTreatAge	DRNType	Symm1	Symm2	Symm3	Symm4	Symm5	Symm6	Symm7	Symm8	Symm9	Symm10	Symm11	Symm12	Symm13	Symm14	Symm15	Symm16	Symm17	Symm18	Symm19	Symm20	Symm21	Symm22	Symm23	Symm24	Symm25	Symm26	Symm27	Symm28	Symm29	Symm30	Symm31	Symm32	Symm33	Symm34	Symm35	Symm36	Symm37	Symm38	Symm39	Symm40	Symm41	Symm42	Symm43	Symm44	Symm45	Symm46	Symm47	Symm48	Symm49	Symm50	Symm51	Symm52	Symm53	Symm54	Symm55	Symm56	Symm57	Symm58	Symm59	Symm60	Symm61	Symm62	Symm63	Symm64	Symm65	Symm66
ECd14	Erimo	Control	14day	ECd14	W14	0	0.20414492	0.060217573	0.185871476	0.097117428	0.1430584	0.138999234	0.062969549	0.154902575	-0.12561875	0.102801647	-0.150982275	-0.102801647	-0.150982275	-0.154902575	-0.12561875	-0.138999234	0.062969549	-0.097117428	0.1430584	-0.060217573	0.185871476	0.100947976	0.110743361	-0.100947976	0.110743361	0.143929105	0.045421615	0.148529988	0.028873091	0.152600334	0.011933763	0.157345181	-0.005182613	0.1622548	-0.022738538	0.165642812	-0.040924841	0.16772897	-0.05946646	0.168497364	-0.078001585	0.167476246	-0.095876354	0.163358157	-0.1121523	-0.143929105	0.045421615	-0.148529988	0.028873091	-0.152600334	0.011933763	-0.157345181	-0.005182613	-0.1622548	-0.022738538	-0.165642812	-0.040924841	-0.16772897	-0.05946646	-0.168497364	-0.078001585	-0.167476246	-0.095876354	-0.163358157	-0.1121523
ECd5	Erimo	Control	5day	ECd5	S5	0	0.217674202	0.061298981	0.192138809	0.098872065	0.145468516	0.140160688	0.06285543	0.148570283	-0.127774979	0.099729033	-0.161350495	-0.099729033	-0.161350495	-0.148570283	-0.127774979	-0.140160688	0.06285543	-0.098872065	0.145468516	-0.061298981	0.192138809	0.098066811	0.111124487	-0.098066811	0.111124487	0.14417445	0.044985468	0.147778752	0.028345212	0.151225019	0.011508094	0.155856903	-0.005407686	0.160329119	-0.02288525	0.163384075	-0.040991401	0.165026942	-0.059503377	0.165052565	-0.078113947	0.162965999	-0.096233712	0.157438387	-0.113002268	-0.14417445	0.044985468	-0.147778752	0.028345212	-0.151225019	0.011508094	-0.155856903	-0.005407686	-0.160329119	-0.02288525	-0.163384075	-0.040991401	-0.165026942	-0.059503377	-0.165052565	-0.078113947	-0.162965999	-0.096233712	-0.157438387	-0.113002268
ETd14	Erimo	Tad	14day	ETd14	T14	0	0.196661489	0.061378969	0.176800904	0.103959677	0.134324275	0.144328764	0.062560357	0.155976722	-0.122648156	0.104810444	-0.14571067	-0.104810444	-0.14571067	-0.155976722	-0.122648156	-0.144328764	0.062560357	-0.103959677	0.134324275	-0.061378969	0.176800904	0.100233174	0.105528307	-0.100233174	0.105528307	0.149648981	0.046075915	0.153598949	0.030043818	0.157411924	0.013581475	0.161700053	-0.003200411	0.165654633	-0.020658978	0.168506657	-0.038726279	0.169641859	-0.057256056	0.169607718	-0.075785595	0.1683669	-0.093590223	0.164321007	-0.109669426	-0.149648981	0.046075915	-0.153598949	0.030043818	-0.157411924	0.013581475	-0.161700053	-0.003200411	-0.165654633	-0.020658978	-0.168506657	-0.038726279	-0.169641859	-0.057256056	-0.169607718	-0.075785595	-0.1683669	-0.093590223	-0.164321007	-0.109669426
HCd14	Hakodate	Control	14day	HCd14	W14	0	0.205388192	0.056017996	0.192221037	0.096080748	0.143992368	0.134160231	0.066588243	0.152855204	-0.131693345	0.103241069	-0.168866174	-0.103241069	-0.168866174	-0.152855204	-0.131693345	-0.134160231	0.066588243	-0.096080748	0.143992368	-0.056017996	0.192221037	0.095664622	0.115320809	-0.095664622	0.115320809	0.138470085	0.048605747	0.142966351	0.031659792	0.147719771	0.014407242	0.15353821	-0.002993494	0.15894191	-0.021119316	0.163414869	-0.039829098	0.16626521	-0.059054182	0.167105327	-0.078561331	0.166157459	-0.097710636	0.161536308	-0.115661757	-0.138470085	0.048605747	-0.142966351	0.031659792	-0.147719771	0.014407242	-0.15353821	-0.002993494	-0.15894191	-0.021119316	-0.163414869	-0.039829098	-0.16626521	-0.059054182	-0.167105327	-0.078561331	-0.166157459	-0.097710636	-0.161536308	-0.115661757
HCd5	Hakodate	Control	5day	HCd5	S5	0	0.203346505	0.059374922	0.185500668	0.093319285	0.143139918	0.139158294	0.057593448	0.154166731	-0.121036696	0.104483244	-0.163019795	-0.104483244	-0.163019795	-0.154166731	-0.121036696	-0.139158294	0.057593448	-0.093319285	0.143139918	-0.059374922	0.185500668	0.09586974	0.111488942	-0.09586974	0.111488942	0.144042835	0.039954315	0.148362137	0.024109311	0.15356349	0.008702817	0.159619667	-0.006486789	0.165042704	-0.02217025	0.169406108	-0.03823674	0.171336833	-0.054903532	0.171205496	-0.07190454	0.168613379	-0.088934701	0.163016335	-0.105469631	-0.144042835	0.039954315	-0.148362137	0.024109311	-0.15356349	0.008702817	-0.159619667	-0.006486789	-0.165042704	-0.02217025	-0.169406108	-0.03823674	-0.171336833	-0.054903532	-0.171205496	-0.07190454	-0.168613379	-0.088934701	-0.163016335	-0.105469631
HTd14	Hakodate	Tad	14day	HTd14	T14	0	0.190904537	0.058354601	0.176921924	0.109999878	0.131667937	0.149130837	0.062004237	0.153132351	-0.120756694	0.100971919	-0.148276568	-0.100971919	-0.148276568	-0.153132351	-0.120756694	-0.149130837	0.062004237	-0.109999878	0.131667937	-0.058354601	0.176921924	0.097017926	0.10449034	-0.097017926	0.10449034	0.153096999	0.045472556	0.155755804	0.029572295	0.158975858	0.013369283	0.162992441	-0.003143282	0.167196677	-0.020186313	0.169684517	-0.037882753	0.170856962	-0.055947656	0.170558768	-0.073993374	0.168512652	-0.091434814	0.16289845	-0.107329387	-0.153096999	0.045472556	-0.155755804	0.029572295	-0.158975858	0.013369283	-0.162992441	-0.003143282	-0.167196677	-0.020186313	-0.169684517	-0.037882753	-0.170856962	-0.055947656	-0.170558768	-0.073993374	-0.168512652	-0.091434814	-0.16289845	-0.107329387
KCd14	Kitami	Control	14day	KCd14	W14	0	0.219192947	0.057855456	0.200277344	0.091426502	0.160308353	0.132836463	0.06626971	0.1463249	-0.134622634	0.095890143	-0.158741484	-0.095890143	-0.158741484	-0.1463249	-0.134622634	-0.132836463	0.06626971	-0.091426502	0.160308353	-0.057855456	0.200277344	0.099803317	0.122106253	-0.099803317	0.122106253	0.138046093	0.046990851	0.143792701	0.029445306	0.148168264	0.011346697	0.152155305	-0.007157129	0.156038787	-0.026148588	0.159151759	-0.045558587	0.160748751	-0.065243312	0.160996867	-0.084789539	0.159477587	-0.103568538	0.154726093	-0.120511178	-0.138046093	0.046990851	-0.143792701	0.029445306	-0.148168264	0.011346697	-0.152155305	-0.007157129	-0.156038787	-0.026148588	-0.159151759	-0.045558587	-0.160748751	-0.065243312	-0.160996867	-0.084789539	-0.159477587	-0.103568538	-0.154726093	-0.120511178
KCd5	Kitami	Control	5day	KCd5	S5	0	0.218275872	0.059829751	0.194375456	0.090656597	0.156143779	0.136231581	0.062334074	0.148603309	-0.129632916	0.095514314	-0.159047845	-0.095514314	-0.159047845	-0.148603309	-0.129632916	-0.136231581	0.062334074	-0.090656597	0.156143779	-0.059829751	0.194375456	0.098296037	0.116920219	-0.098296037	0.116920219	0.141920217	0.043831332	0.146915131	0.026911924	0.150808297	0.009731871	0.155006636	-0.007502957	0.159102578	-0.025185926	0.162353217	-0.043280857	0.16421117	-0.061697078	0.164384662	-0.080134799	0.162082717	-0.098077669	0.156863525	-0.114826544	-0.141920217	0.043831332	-0.146915131	0.026911924	-0.150808297	0.009731871	-0.155006636	-0.007502957	-0.159102578	-0.025185926	-0.162353217	-0.043280857	-0.16421117	-0.061697078	-0.164384662	-0.080134799	-0.162082717	-0.098077669	-0.156863525	-0.114826544
KTd14	Kitami	Tad	14day	KTd14	T14	0	0.216929223	0.057854059	0.196987743	0.095231735	0.154241721	0.13697554	0.066586011	0.147368901	-0.132761492	0.101992831	-0.157086388	-0.101992831	-0.157086388	-0.147368901	-0.132761492	-0.13697554	0.066586011	-0.095231735	0.154241721	-0.057854059	0.196987743	0.099266655	0.120092919	-0.099266655	0.120092919	0.140701154	0.047410791	0.145357951	0.029868084	0.149600237	0.011963851	0.153176657	-0.006440825	0.156622117	-0.025365528	0.159275978	-0.044692609	0.160725692	-0.064277376	0.161117255	-0.083723972	0.159853178	-0.102287508	0.155395154	-0.118980033	-0.140701154	0.047410791	-0.145357951	0.029868084	-0.149600237	0.011963851	-0.153176657	-0.006440825	-0.156622117	-0.025365528	-0.159275978	-0.044692609	-0.160725692	-0.064277376	-0.161117255	-0.083723972	-0.159853178	-0.102287508	-0.155395154	-0.118980033
NCd14	Nopporo	Control	14day	NCd14	W14	0	0.216681348	0.060456898	0.194104372	0.093355933	0.154240778	0.133182687	0.067072957	0.148547703	-0.134515385	0.103996546	-0.159386582	-0.103996546	-0.159386582	-0.148547703	-0.134515385	-0.133182687	0.067072957	-0.093355933	0.154240778	-0.060456898	0.194104372	0.099586664	0.119196348	-0.099586664	0.119196348	0.138179074	0.048437253	0.143700052	0.031157433	0.148845361	0.013423551	0.153490463	-0.004883178	0.15719326	-0.023980367	0.159863552	-0.043634878	0.161873663	-0.063565129	0.162383272	-0.083445365	0.160447839	-0.102565713	0.155913229	-0.119996769	-0.138179074	0.048437253	-0.143700052	0.031157433	-0.148845361	0.013423551	-0.153490463	-0.004883178	-0.15719326	-0.023980367	-0.159863552	-0.043634878	-0.161873663	-0.063565129	-0.162383272	-0.083445365	-0.160447839	-0.102565713	-0.155913229	-0.119996769
