NA	  bgPC1   	  bgPC2   	  bgPC3	  bgPC4	  bgPC5	  bgPC6	  bgPC7	  bgPC8	  bgPC9	  bgPC10	  bgPC11	  bgPC12	  bgPC13	  bgPC14
   x1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
   y1	-0.292077	-0.0578	0.339062	-0.272358	0.434781	0.098209	-0.352432	0.040893	-0.248558	0.163752	-0.054357	0.004109	0.351832	0.216791
   x2	0.01121	0.078122	0.099183	-0.034093	0.400662	0.21952	0.132365	-0.060962	0.268374	0.056265	0.048954	0.007273	-0.257106	-0.037081
   y2	-0.238955	-0.123683	0.050432	-0.087695	-0.197383	-0.147854	-0.319665	0.039213	0.072219	-0.176516	0.00496	-0.003943	-0.310761	-0.104881
   x3	0.140675	0.198104	-0.034739	-0.345977	-0.083384	-0.166757	-0.084919	0.121315	0.405949	0.185032	0.055346	-0.077411	0.063589	0.093159
   y3	-0.264608	-0.021223	0.202314	0.213574	-0.045571	-0.023761	0.227094	0.067461	0.038376	0.127507	0.232155	-0.134973	0.014766	-0.041796
   x4	0.138786	0.086933	0.139512	-0.153409	-0.103292	-0.027216	0.015739	-0.390999	-0.063103	-0.052469	0.236035	0.160153	0.173419	-0.128558
   y4	-0.062207	0.143524	-0.16356	-0.035094	-0.052849	0.087241	0.035224	-0.123752	-0.034468	-0.055942	0.020694	0.02849	0.06676	-0.031631
   x5	0.101396	-0.040683	-0.124038	0.201682	0.038352	0.046444	-0.191163	0.007342	-0.043304	0.330693	0.058028	0.229524	-0.076663	0.016263
   y5	0.156404	-0.108821	0.137984	0.037325	-0.007154	-0.050795	-0.083666	-0.11021	0.062427	-0.131234	-0.157318	-0.099009	0.13638	0.159215
   x6	0.053548	0.027712	-0.234836	0.105704	0.36478	-0.458298	-0.043635	-0.145077	-0.084783	-0.097064	0.075094	-0.126716	-0.05366	0.008725
   y6	0.141085	0.404529	0.212395	0.313288	-0.033264	-0.05872	-0.198433	0.100846	0.006647	-0.001377	0.117363	-0.012202	-0.019556	0.05466
   x7	-0.053548	-0.027712	0.234836	-0.105704	-0.36478	0.458298	0.043635	0.145077	0.084783	0.097064	-0.075094	0.126716	0.05366	-0.008725
   y7	0.141085	0.404529	0.212395	0.313288	-0.033264	-0.05872	-0.198433	0.100846	0.006647	-0.001377	0.117363	-0.012202	-0.019556	0.05466
   x8	-0.101396	0.040683	0.124038	-0.201682	-0.038352	-0.046444	0.191163	-0.007342	0.043304	-0.330693	-0.058028	-0.229524	0.076663	-0.016263
   y8	0.156404	-0.108821	0.137984	0.037325	-0.007154	-0.050795	-0.083666	-0.11021	0.062427	-0.131234	-0.157318	-0.099009	0.13638	0.159215
   x9	-0.138786	-0.086933	-0.139512	0.153409	0.103292	0.027216	-0.015739	0.390999	0.063103	0.052469	-0.236035	-0.160153	-0.173419	0.128558
   y9	-0.062207	0.143524	-0.16356	-0.035094	-0.052849	0.087241	0.035224	-0.123752	-0.034468	-0.055942	0.020694	0.02849	0.06676	-0.031631
   x10	-0.140675	-0.198104	0.034739	0.345977	0.083384	0.166757	0.084919	-0.121315	-0.405949	-0.185032	-0.055346	0.077411	-0.063589	-0.093159
   y10	-0.264608	-0.021223	0.202314	0.213574	-0.045571	-0.023761	0.227094	0.067461	0.038376	0.127507	0.232155	-0.134973	0.014766	-0.041796
   x11	-0.01121	-0.078122	-0.099183	0.034093	-0.400662	-0.21952	-0.132365	0.060962	-0.268374	-0.056265	-0.048954	-0.007273	0.257106	0.037081
   y11	-0.238955	-0.123683	0.050432	-0.087695	-0.197383	-0.147854	-0.319665	0.039213	0.072219	-0.176516	0.00496	-0.003943	-0.310761	-0.104881
   x12	-0.011435	0.119445	0.043064	0.099922	0.126115	0.177504	-0.094784	-0.070237	0.201856	-0.357321	-0.180172	0.08288	0.05585	-0.171031
   y12	-0.168581	-0.000133	-0.040104	0.148757	-0.077857	-0.172837	0.232902	-0.186842	0.229215	0.099496	-0.221212	0.175526	0.12223	0.115029
   x13	0.011435	-0.119445	-0.043064	-0.099922	-0.126115	-0.177504	0.094784	0.070237	-0.201856	0.357321	0.180172	-0.08288	-0.05585	0.171031
   y13	-0.168581	-0.000133	-0.040104	0.148757	-0.077857	-0.172837	0.232902	-0.186842	0.229215	0.099496	-0.221212	0.175526	0.12223	0.115029
   x14	0.137549	0.08713	0.148024	-0.088315	-0.077213	0.016018	0.068672	-0.1904	-0.200521	0.038368	0.035028	0.025584	-0.232055	0.060943
   y14	-0.035022	0.147029	-0.172305	-0.047159	-0.036613	0.111797	0.025647	-0.044839	-0.098792	-0.040252	0.00895	-0.026556	-0.017918	0.000574
   x15	0.116509	0.088332	0.138767	-0.033237	-0.034964	-0.001662	0.089065	-0.03872	-0.126961	0.104902	-0.306545	-0.156748	-0.213273	-0.007282
   y15	-0.016972	0.132318	-0.162668	-0.053208	-0.017375	0.104187	0.031112	0.005696	-0.082137	-0.016788	-0.052472	-0.103712	-0.002484	0.05598
   x16	0.106969	0.063496	0.107561	-0.006365	0.0032	-0.119878	0.107658	0.152816	-0.101733	0.041624	-0.286783	-0.072667	0.06683	-0.153792
   y16	0.003462	0.098314	-0.146614	-0.060823	0.007483	0.062437	0.038044	0.062974	-0.073652	-0.011617	-0.039326	-0.089841	0.022658	0.045076
   x17	0.107969	0.012039	0.071237	-0.008045	0.03118	-0.118398	0.103585	0.272708	-0.070317	-0.085433	-0.003178	0.181512	0.131382	-0.192491
   y17	0.026033	0.047598	-0.123662	-0.068502	0.030809	0.044754	0.040862	0.102364	-0.064886	-0.01399	0.019303	0.025329	0.017873	-0.015385
   x18	0.11522	-0.033574	0.045166	0.008546	0.006494	-0.033242	0.078073	0.181502	0.00773	-0.165668	0.140406	0.093156	0.014205	-0.019862
   y18	0.049907	-0.006198	-0.091851	-0.067191	0.040474	0.040038	0.03538	0.090987	-0.033152	-0.006098	0.051944	0.063327	-0.024323	-0.053134
   x19	0.116312	-0.083128	0.014354	0.039068	-0.017436	0.033777	0.072795	0.093197	0.012793	-0.17773	0.033395	0.189447	-0.112233	0.409201
   y19	0.072456	-0.064106	-0.056543	-0.059038	0.045379	0.025144	0.037314	0.067979	-0.014197	0.009343	0.022634	0.11928	-0.051726	-0.039209
   x20	0.11251	-0.109053	-0.018611	0.05491	-0.029446	0.08918	0.048782	0.040436	0.006808	-0.118682	0.084687	-0.180825	0.096659	0.260176
   y20	0.093498	-0.116416	-0.018124	-0.048567	0.044361	0.009063	0.03573	0.037417	-0.000281	0.029893	0.013	0.084152	-0.049956	-0.056658
   x21	0.109263	-0.106227	-0.043062	0.075889	-0.023646	0.107165	0.001938	-0.00232	0.066763	-0.00045	0.142681	-0.318041	0.139478	-0.151652
   y21	0.113227	-0.157302	0.025508	-0.034807	0.039401	-0.008377	0.033965	0.002482	0.023126	0.042073	0.013972	0.039408	-0.03976	-0.084126
   x22	0.110545	-0.090649	-0.083468	0.107903	-0.0593	0.112459	-0.110956	-0.052226	0.057875	0.054195	-0.009278	-0.166532	-0.053049	-0.046725
   y22	0.130815	-0.178072	0.069237	-0.018257	0.031877	-0.026774	0.020776	-0.040326	0.042487	0.049493	0.013221	0.000858	-0.002787	-0.129338
   x23	0.110052	-0.065648	-0.111342	0.155188	-0.037218	0.107095	-0.195713	-0.029182	0.045002	0.130675	-0.138741	0.107639	0.124359	-0.052447
   y23	0.145498	-0.168458	0.108029	0.003578	0.01089	-0.044649	-0.016069	-0.091896	0.051345	0.014134	-0.02069	-0.068188	-0.037312	0.017229
   x24	-0.137549	-0.08713	-0.148024	0.088315	0.077213	-0.016018	-0.068672	0.1904	0.200521	-0.038368	-0.035028	-0.025584	0.232055	-0.060943
   y24	-0.035022	0.147029	-0.172305	-0.047159	-0.036613	0.111797	0.025647	-0.044839	-0.098792	-0.040252	0.00895	-0.026556	-0.017918	0.000574
   x25	-0.116509	-0.088332	-0.138767	0.033237	0.034964	0.001662	-0.089065	0.03872	0.126961	-0.104902	0.306545	0.156748	0.213273	0.007282
   y25	-0.016972	0.132318	-0.162668	-0.053208	-0.017375	0.104187	0.031112	0.005696	-0.082137	-0.016788	-0.052472	-0.103712	-0.002484	0.05598
   x26	-0.106969	-0.063496	-0.107561	0.006365	-0.0032	0.119878	-0.107658	-0.152816	0.101733	-0.041624	0.286783	0.072667	-0.06683	0.153792
   y26	0.003462	0.098314	-0.146614	-0.060823	0.007483	0.062437	0.038044	0.062974	-0.073652	-0.011617	-0.039326	-0.089841	0.022658	0.045076
   x27	-0.107969	-0.012039	-0.071237	0.008045	-0.03118	0.118398	-0.103585	-0.272708	0.070317	0.085433	0.003178	-0.181512	-0.131382	0.192491
   y27	0.026033	0.047598	-0.123662	-0.068502	0.030809	0.044754	0.040862	0.102364	-0.064886	-0.01399	0.019303	0.025329	0.017873	-0.015385
   x28	-0.11522	0.033574	-0.045166	-0.008546	-0.006494	0.033242	-0.078073	-0.181502	-0.00773	0.165668	-0.140406	-0.093156	-0.014205	0.019862
   y28	0.049907	-0.006198	-0.091851	-0.067191	0.040474	0.040038	0.03538	0.090987	-0.033152	-0.006098	0.051944	0.063327	-0.024323	-0.053134
   x29	-0.116312	0.083128	-0.014354	-0.039068	0.017436	-0.033777	-0.072795	-0.093197	-0.012793	0.17773	-0.033395	-0.189447	0.112233	-0.409201
   y29	0.072456	-0.064106	-0.056543	-0.059038	0.045379	0.025144	0.037314	0.067979	-0.014197	0.009343	0.022634	0.11928	-0.051726	-0.039209
   x30	-0.11251	0.109053	0.018611	-0.05491	0.029446	-0.08918	-0.048782	-0.040436	-0.006808	0.118682	-0.084687	0.180825	-0.096659	-0.260176
   y30	0.093498	-0.116416	-0.018124	-0.048567	0.044361	0.009063	0.03573	0.037417	-0.000281	0.029893	0.013	0.084152	-0.049956	-0.056658
   x31	-0.109263	0.106227	0.043062	-0.075889	0.023646	-0.107165	-0.001938	0.00232	-0.066763	0.00045	-0.142681	0.318041	-0.139478	0.151652
   y31	0.113227	-0.157302	0.025508	-0.034807	0.039401	-0.008377	0.033965	0.002482	0.023126	0.042073	0.013972	0.039408	-0.03976	-0.084126
   x32	-0.110545	0.090649	0.083468	-0.107903	0.0593	-0.112459	0.110956	0.052226	-0.057875	-0.054195	0.009278	0.166532	0.053049	0.046725
   y32	0.130815	-0.178072	0.069237	-0.018257	0.031877	-0.026774	0.020776	-0.040326	0.042487	0.049493	0.013221	0.000858	-0.002787	-0.129338
   x33	-0.110052	0.065648	0.111342	-0.155188	0.037218	-0.107095	0.195713	0.029182	-0.045002	-0.130675	0.138741	-0.107639	-0.124359	0.052447
   y33	0.145498	-0.168458	0.108029	0.003578	0.01089	-0.044649	-0.016069	-0.091896	0.051345	0.014134	-0.02069	-0.068188	-0.037312	0.017229
